Problem,Sampler,Radius,Time,NumSteps,Q,X0,X1
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,10,0.357251,5000,0.00037859433868848264,0.9979486303958796,0.9991996847602119
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,10,0.352536,5000,0.0001864932031146266,1.0010433542238732,0.9905568156409192
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,15,0.356358,5000,0.00014626034205993897,0.9988103528590798,0.9956231140088516
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,15,0.357165,5000,8.191312993933853e-05,0.999208847854468,1.0050722368595129
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,15,0.353108,5000,0.0004683890530535874,0.9979806059818581,0.9898653506010947
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,15,0.356006,5000,0.0004508067915240831,1.0009832600641946,0.9807109856610592
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,15,0.356774,5000,0.00018376821366341179,1.000809328497023,0.9887812600503189
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,20,0.358859,5000,0.0001623168531697023,1.0000563760232974,1.0127910494796886
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,20,0.359462,5000,0.0007572920100203182,1.0027607400899707,1.0085488181019038
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,20,0.35785,5000,6.514198901769395e-05,1.0008138748774476,1.00237578490547
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,20,0.357653,5000,0.00010884500959266124,1.0009444774692944,1.0053633221198681
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,20,0.356756,5000,0.0005358551348480157,1.000530429623033,1.0229525616015014
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,25,0.361453,5000,0.0006333247733969508,1.0022839502267251,1.0128988318270018
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,25,0.359482,5000,0.0008445068950215909,1.0030184382708767,0.9948678474247823
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,25,0.359355,5000,0.0007001486769849116,0.9994846966446643,1.0265574081304896
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,25,0.362741,5000,0.0006106169077374972,1.0017956197861315,0.9819106370758036
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,25,0.356945,5000,1.3928743916630807e-05,1.0003791348644313,1.0010084158644141
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,50,0.371858,5000,0.0012427933238424245,0.9967244117623675,0.9831543204505132
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,50,0.372255,5000,0.0006560731792707281,1.0024252444711612,0.9886539117338589
MinLeviFunctionNum13,RadiusLimitedPopulationSampler,50,0.372753,5000,0.00020844161864022143,0.9992811780650868,0.987209358499525
